reg_clause,count,percent
ISO 29148 §5.2 (clarity & testability),1058,31.93
,856,25.83
ISO 29148 §5.2.3,411,12.4
ISO 29148 §5.2 (clarity & testability); ISO 29148 §5.2.3,283,8.54
ISO 26262-8 §6.4.3; ISO 29148 §5.2 (clarity & testability); ISO 29148 §5.2.3,233,7.03
ISO 26262-8 §6.4.3; ISO 29148 §5.2 (clarity & testability); ISO 29148 §5.2.3; ISO 29148 §5.2.4,194,5.85
ISO 26262-8 §6.4.3; ISO 29148 §5.2.3,107,3.23
ISO 29148 §5.2 (clarity & testability); ISO 29148 §5.2.3; ISO 29148 §5.2.4,62,1.87
ISO 29148 §5.2 (clarity & testability); ISO 29148 §5.2.4,54,1.63
ISO 29148 §5.2.3; ISO 29148 §5.2.4,26,0.78
ISO 29148 §5.2.4,17,0.51
ISO 26262-8 §6.4.3; ISO 29148 §5.2.3; ISO 29148 §5.2.4,13,0.39
